 ,gs,mgs,sciQR,re_orth,torch_qr
0.01,994,0,0,0,0
0.001,947,0,0,0,0
0.0001,718,0,0,0,0
1e-05,182,0,0,0,0
1e-06,0,0,0,0,0
1e-07,0,0,0,0,0
1e-08,0,0,0,0,0
