 ,gs,mgs,sciQR,re_orth,torch_qr
0.01,1000,0,0,0,0
0.001,1000,0,0,0,0
0.0001,1000,0,0,0,0
1e-05,994,0,0,0,0
1e-06,796,0,0,0,0
1e-07,12,0,0,0,0
1e-08,0,0,0,0,0
