 ,gs,mgs,sciQR,re_orth,torch_qr
0.01,1000,14,14,14,14
0.001,1000,1,1,1,1
0.0001,1000,0,0,0,0
1e-05,1000,0,0,0,0
1e-06,988,0,0,0,0
1e-07,371,0,0,0,0
1e-08,6,0,0,0,0
