 ,gs,mgs,sciQR,re_orth,torch_qr
0.01,1000,1000,1000,1000,1000
0.001,1000,1000,1000,1000,1000
0.0001,965,997,1000,1000,1000
1e-05,746,951,1000,1000,1000
1e-06,85,562,1000,1000,1000
1e-07,0,0,999,631,70
1e-08,0,0,0,0,0
