 ,gs,mgs,sciQR,re_orth,torch_qr
0.01,1000,1000,1000,1000,1000
0.001,1000,1000,1000,1000,1000
0.0001,1000,998,1000,1000,1000
1e-05,994,991,1000,1000,1000
1e-06,939,917,1000,1000,1000
1e-07,571,496,1000,977,857
1e-08,44,54,554,227,234
