 ,gs,mgs,sciQR,re_orth,torch_qr
0.01,981,1000,1000,1000,1000
0.001,848,996,1000,1000,1000
0.0001,259,960,1000,1000,1000
1e-05,0,644,1000,1000,1000
1e-06,0,1,1000,1000,1000
1e-07,0,0,0,0,0
1e-08,0,0,0,0,0
