 ,gs,mgs,sciQR,re_orth,torch_qr
0.01,581,0,0,0,0
0.001,228,0,0,0,0
0.0001,22,0,0,0,0
1e-05,0,0,0,0,0
1e-06,0,0,0,0,0
1e-07,0,0,0,0,0
1e-08,0,0,0,0,0
